img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_5522747AmericaFrontccc.jpg,Metal Gear Solid: The Essential Collection,PS2,Adventure,Konami,Konami Computer Entertainment Japan,9.0,0.46,0.23,,0.18,0.06,2008-03-18,
/games/boxart/full_fifa-soccer-12_962PALFront.jpg,FIFA Soccer 12,PC,Sports,EA Sports,EA Canada,9.1,0.46,0.04,,0.33,0.09,2011-09-27,
/games/boxart/9666269ccc.jpg,The Golden Compass,X360,Adventure,Sega,Shiny Entertainment,4.4,0.46,0.3,,0.12,0.04,2007-12-04,
/games/boxart/4337289ccc.jpg,Dragon Ball Z: Collectible Card Game,GBA,Misc,Infogrames,Magellan Interactive,6.0,0.46,0.33,,0.12,0.01,2002-05-29,
/games/boxart/full_mx-vs-atv-alive_916AmericaFront.jpg,MX vs. ATV: Alive,PS3,Racing,THQ,Rainbow Studios,6.9,0.46,0.24,,0.15,0.07,2011-05-10,
/games/boxart/full_need-for-speed-hot-pursuit_764AmericaFront.jpg,Need for Speed: Hot Pursuit,Wii,Racing,Electronic Arts,Exient Entertainment,5.0,0.46,0.17,0.0,0.24,0.05,2010-11-16,
/games/boxart/1452611ccc.jpg,Crash Nitro Kart,GBA,Racing,Vivendi Games,Vicarious Visions,7.7,0.46,0.33,,0.12,0.01,2003-11-11,
/games/boxart/full_8737952AmericaFrontccc.png,State of Decay 2,XOne,Action-Adventure,Microsoft Studios,Undead Labs,7.0,0.46,0.27,,0.14,0.04,2018-05-22,2018-09-25
/games/boxart/8294019ccc.jpg,Bloody Roar II,PS,Fighting,Sony Computer Entertainment,Eighting / Raizing,8.2,0.46,0.25,,0.17,0.03,1999-04-30,
/games/boxart/2336082ccc.jpg,Mat Hoffman's Pro BMX 2,PS2,Sports,Activision,Rainbow Studios,8.1,0.46,0.23,,0.18,0.06,2002-08-12,
/games/boxart/full_158478JapanFrontccc.jpg,Tales of Vesperia,PS3,Role-Playing,Namco Bandai,Namco Tales Studio,8.0,0.46,,0.46,,,2009-09-17,
/games/boxart/4116017ccc.jpg,Classic NES Series: Pac-Man,GBA,Puzzle,Nintendo,Nintendo,5.7,0.46,0.25,0.12,0.09,0.01,2004-06-02,
/games/boxart/full_7706945AmericaFrontccc.png,Jak and Daxter: The Lost Frontier,PS2,Platform,Sony Computer Entertainment,High Impact Games,7.5,0.46,0.22,,0.17,0.06,2009-11-03,
/games/boxart/full_5531998AmericaFrontccc.jpg,Disney's Kim Possible 3: Team Possible,GBA,Platform,Disney Interactive Studios,Artificial Mind and Movement,9.0,0.46,0.33,,0.12,0.01,2005-08-21,
/games/boxart/4515807ccc.jpg,Tomb Raider: Legend,PSP,Action,Eidos Interactive,Buzz Monkey,7.2,0.46,0.09,,0.25,0.12,2006-06-21,
/games/boxart/full_7310373AmericaFrontccc.jpg,Boom Blox Bash Party,Wii,Puzzle,Electronic Arts,EA Los Angeles,8.8,0.46,0.33,,0.09,0.04,2009-05-19,
/games/boxart/967797ccc.jpg,Brothers In Arms: D-Day,PSP,Shooter,Ubisoft,Gearbox Software,6.8,0.46,0.23,,0.14,0.09,2006-12-05,
/games/boxart/full_red-faction-armageddon_437AmericaFront.jpg,Red Faction: Armageddon,PS3,Shooter,THQ,Volition Inc.,7.0,0.46,0.2,0.03,0.15,0.07,2011-06-07,
/games/boxart/5305446ccc.jpg,Syphon Filter: Logan's Shadow,PSP,Shooter,Sony Computer Entertainment,SCEA Bend Studio,8.4,0.46,0.25,,0.12,0.09,2007-10-02,
/games/boxart/full_8069084AmericaFrontccc.jpg,Hyrule Warriors: Definitive Edition,NS,Action,Nintendo,Omega Force,8.0,0.46,0.21,0.07,0.15,0.03,2018-05-18,2019-12-30
/games/boxart/1711724ccc.jpg,.hack//Outbreak Part 3,PS2,Role-Playing,Bandai,CyberConnect2,7.1,0.46,0.14,0.17,0.11,0.04,2003-09-09,
/games/boxart/full_2830177AmericaFrontccc.jpg,Iridion 3D,GBA,Shooter,Majesco,Shin'en GmbH,5.6,0.46,0.33,,0.12,0.01,2001-05-29,
/games/boxart/3331810ccc.jpg,Area 51,PS2,Shooter,Midway Games,Midway Studios Austin,7.7,0.45,0.22,,0.17,0.06,2005-04-25,
/games/boxart/1232716ccc.jpg,Enemy Territory: Quake Wars,X360,Shooter,Activision,Nerve Software,6.7,0.45,0.3,,0.11,0.04,2008-05-27,
